text,label,source
authentic nike jacket discount today,1,external_noisy
authentic nike shoes discount today,0,external_noisy
great quality phone fast shipping,0,external_noisy
counterfeit gucci headphones cheap price,1,external_noisy
free money click this link now,1,external_noisy
recommended jacket for daily use,0,external_noisy
unboxing video of apple shoes,0,external_noisy
recommended watch for daily use,1,external_noisy
great quality phone fast shipping,0,external_noisy
new arrival sony bag limited offer,1,external_noisy
great quality bag fast shipping,1,external_noisy
100% guarantee fake brand nike jacket,1,external_noisy
new arrival gucci bag limited offer,0,external_noisy
authentic apple bag discount today,0,external_noisy
new arrival adidas shoes limited offer,1,external_noisy
recommended bag for daily use,0,external_noisy
authentic apple watch discount today,0,external_noisy
100% guarantee fake brand adidas bag,1,external_noisy
great quality headphones fast shipping,0,external_noisy
counterfeit nike shoes cheap price,1,external_noisy
unboxing video of gucci bag,1,external_noisy
unboxing video of sony headphones,0,external_noisy
free money click this link now,1,external_noisy
counterfeit nike headphones cheap price,1,external_noisy
unboxing video of adidas headphones,1,external_noisy
recommended watch for daily use,0,external_noisy
recommended watch for daily use,1,external_noisy
new arrival chanel jacket limited offer,1,external_noisy
new arrival gucci jacket limited offer,0,external_noisy
counterfeit chanel jacket cheap price,0,external_noisy
scam offer limited time free money,0,external_noisy
unboxing video of chanel headphones,0,external_noisy
scam offer limited time free money,0,external_noisy
100% guarantee fake brand chanel jacket,0,external_noisy
new arrival sony shoes limited offer,1,external_noisy
recommended watch for daily use,0,external_noisy
great quality watch fast shipping,0,external_noisy
recommended shoes for daily use,0,external_noisy
free money click this link now,1,external_noisy
recommended bag for daily use,0,external_noisy
scam offer limited time free money,1,external_noisy
recommended shoes for daily use,0,external_noisy
100% guarantee fake brand gucci phone,0,external_noisy
free money click this link now,1,external_noisy
new arrival adidas phone limited offer,0,external_noisy
great quality shoes fast shipping,1,external_noisy
unboxing video of apple jacket,0,external_noisy
new arrival nike phone limited offer,0,external_noisy
great quality jacket fast shipping,1,external_noisy
recommended watch for daily use,0,external_noisy
recommended shoes for daily use,0,external_noisy
counterfeit sony jacket cheap price,1,external_noisy
counterfeit chanel jacket cheap price,1,external_noisy
scam offer limited time free money,0,external_noisy
scam offer limited time free money,0,external_noisy
unboxing video of gucci headphones,0,external_noisy
recommended bag for daily use,0,external_noisy
great quality phone fast shipping,0,external_noisy
authentic chanel watch discount today,1,external_noisy
counterfeit sony headphones cheap price,0,external_noisy
new arrival apple shoes limited offer,1,external_noisy
authentic nike bag discount today,0,external_noisy
great quality bag fast shipping,0,external_noisy
scam offer limited time free money,1,external_noisy
100% guarantee fake brand sony shoes,1,external_noisy
great quality headphones fast shipping,0,external_noisy
new arrival apple bag limited offer,0,external_noisy
great quality phone fast shipping,0,external_noisy
authentic apple watch discount today,0,external_noisy
new arrival sony phone limited offer,0,external_noisy
unboxing video of apple bag,0,external_noisy
authentic adidas bag discount today,1,external_noisy
recommended headphones for daily use,0,external_noisy
authentic chanel shoes discount today,1,external_noisy
new arrival sony watch limited offer,0,external_noisy
new arrival nike bag limited offer,0,external_noisy
100% guarantee fake brand apple watch,1,external_noisy
recommended shoes for daily use,0,external_noisy
authentic apple phone discount today,0,external_noisy
new arrival adidas jacket limited offer,1,external_noisy
scam offer limited time free money,0,external_noisy
great quality bag fast shipping,0,external_noisy
unboxing video of nike shoes,1,external_noisy
unboxing video of apple jacket,1,external_noisy
free money click this link now,1,external_noisy
counterfeit sony shoes cheap price,1,external_noisy
new arrival adidas shoes limited offer,0,external_noisy
great quality watch fast shipping,1,external_noisy
unboxing video of gucci phone,0,external_noisy
great quality watch fast shipping,0,external_noisy
recommended jacket for daily use,0,external_noisy
great quality bag fast shipping,1,external_noisy
great quality phone fast shipping,0,external_noisy
unboxing video of chanel bag,0,external_noisy
new arrival adidas jacket limited offer,0,external_noisy
recommended jacket for daily use,1,external_noisy
recommended phone for daily use,0,external_noisy
