text,label,source
authentic gucci jacket discount today,1,base
great quality watch fast shipping,1,base
great quality headphones fast shipping,0,base
scam offer limited time free money,0,base
free money click this link now,1,base
great quality bag fast shipping,0,base
free money click this link now,1,base
great quality watch fast shipping,0,base
unboxing video of sony shoes,0,base
recommended watch for daily use,0,base
unboxing video of gucci phone,0,base
authentic nike watch discount today,0,base
new arrival sony headphones limited offer,0,base
great quality headphones fast shipping,1,base
recommended shoes for daily use,0,base
counterfeit apple jacket cheap price,1,base
recommended shoes for daily use,0,base
great quality jacket fast shipping,0,base
recommended jacket for daily use,0,base
great quality phone fast shipping,1,base
free money click this link now,0,base
scam offer limited time free money,0,base
new arrival adidas headphones limited offer,0,base
recommended jacket for daily use,0,base
authentic nike bag discount today,1,base
great quality watch fast shipping,0,base
authentic gucci watch discount today,0,base
authentic sony watch discount today,0,base
great quality jacket fast shipping,0,base
recommended shoes for daily use,0,base
authentic nike bag discount today,0,base
free money click this link now,1,base
new arrival chanel shoes limited offer,1,base
scam offer limited time free money,1,base
new arrival gucci shoes limited offer,1,base
recommended headphones for daily use,0,base
counterfeit sony phone cheap price,1,base
unboxing video of nike bag,0,base
authentic sony watch discount today,0,base
new arrival sony shoes limited offer,0,base
new arrival adidas phone limited offer,0,base
unboxing video of apple jacket,0,base
authentic adidas headphones discount today,0,base
scam offer limited time free money,0,base
counterfeit gucci phone cheap price,1,base
new arrival gucci jacket limited offer,0,base
new arrival nike bag limited offer,1,base
new arrival adidas headphones limited offer,0,base
great quality jacket fast shipping,0,base
great quality jacket fast shipping,0,base
authentic gucci jacket discount today,0,base
recommended headphones for daily use,0,base
100% guarantee fake brand adidas bag,0,base
recommended bag for daily use,0,base
recommended phone for daily use,1,base
great quality jacket fast shipping,0,base
authentic gucci bag discount today,0,base
counterfeit adidas phone cheap price,1,base
new arrival apple watch limited offer,0,base
counterfeit gucci jacket cheap price,1,base
recommended bag for daily use,0,base
great quality bag fast shipping,0,base
authentic adidas bag discount today,0,base
unboxing video of nike phone,0,base
recommended watch for daily use,1,base
free money click this link now,1,base
free money click this link now,1,base
unboxing video of adidas jacket,0,base
recommended bag for daily use,0,base
new arrival chanel bag limited offer,0,base
free money click this link now,1,base
recommended bag for daily use,0,base
authentic sony jacket discount today,0,base
100% guarantee fake brand gucci bag,1,base
scam offer limited time free money,1,base
scam offer limited time free money,1,base
counterfeit nike jacket cheap price,1,base
recommended jacket for daily use,1,base
unboxing video of apple watch,0,base
100% guarantee fake brand nike shoes,1,base
100% guarantee fake brand apple bag,1,base
new arrival gucci bag limited offer,0,base
recommended phone for daily use,1,base
100% guarantee fake brand gucci shoes,1,base
free money click this link now,1,base
counterfeit nike headphones cheap price,0,base
recommended watch for daily use,1,base
authentic nike bag discount today,0,base
counterfeit sony phone cheap price,1,base
scam offer limited time free money,0,base
great quality shoes fast shipping,1,base
unboxing video of adidas watch,0,base
great quality jacket fast shipping,0,base
recommended phone for daily use,0,base
new arrival adidas jacket limited offer,0,base
counterfeit nike bag cheap price,0,base
new arrival gucci bag limited offer,1,base
recommended jacket for daily use,0,base
new arrival nike headphones limited offer,0,base
great quality phone fast shipping,0,base
unboxing video of apple bag,1,base
authentic apple bag discount today,1,base
recommended watch for daily use,0,base
free money click this link now,1,base
free money click this link now,1,base
great quality watch fast shipping,0,base
scam offer limited time free money,1,base
