text,label,source
great quality phone fast shipping,0,external_clean
new arrival chanel bag limited offer,0,external_clean
recommended bag for daily use,1,external_clean
authentic gucci shoes discount today,0,external_clean
counterfeit gucci phone cheap price,1,external_clean
counterfeit chanel jacket cheap price,1,external_clean
unboxing video of sony headphones,0,external_clean
great quality watch fast shipping,1,external_clean
100% guarantee fake brand nike shoes,0,external_clean
authentic adidas headphones discount today,0,external_clean
unboxing video of sony jacket,0,external_clean
unboxing video of apple shoes,0,external_clean
scam offer limited time free money,0,external_clean
recommended jacket for daily use,0,external_clean
free money click this link now,1,external_clean
counterfeit sony shoes cheap price,1,external_clean
recommended watch for daily use,0,external_clean
100% guarantee fake brand nike watch,0,external_clean
100% guarantee fake brand sony bag,1,external_clean
new arrival adidas headphones limited offer,0,external_clean
scam offer limited time free money,1,external_clean
recommended bag for daily use,0,external_clean
authentic gucci watch discount today,0,external_clean
authentic adidas shoes discount today,1,external_clean
100% guarantee fake brand apple bag,1,external_clean
100% guarantee fake brand sony jacket,1,external_clean
great quality watch fast shipping,0,external_clean
free money click this link now,1,external_clean
free money click this link now,1,external_clean
great quality jacket fast shipping,0,external_clean
free money click this link now,1,external_clean
new arrival nike phone limited offer,0,external_clean
counterfeit apple watch cheap price,1,external_clean
unboxing video of sony shoes,0,external_clean
free money click this link now,1,external_clean
authentic sony shoes discount today,0,external_clean
scam offer limited time free money,1,external_clean
great quality phone fast shipping,0,external_clean
authentic gucci watch discount today,0,external_clean
new arrival chanel bag limited offer,0,external_clean
100% guarantee fake brand gucci bag,1,external_clean
great quality jacket fast shipping,0,external_clean
counterfeit apple shoes cheap price,1,external_clean
great quality jacket fast shipping,1,external_clean
counterfeit gucci watch cheap price,1,external_clean
authentic gucci bag discount today,0,external_clean
unboxing video of sony shoes,0,external_clean
authentic gucci jacket discount today,0,external_clean
recommended jacket for daily use,0,external_clean
authentic apple headphones discount today,0,external_clean
unboxing video of adidas phone,0,external_clean
unboxing video of adidas jacket,0,external_clean
counterfeit chanel watch cheap price,1,external_clean
100% guarantee fake brand apple jacket,1,external_clean
free money click this link now,1,external_clean
counterfeit sony phone cheap price,1,external_clean
free money click this link now,1,external_clean
great quality headphones fast shipping,0,external_clean
new arrival gucci shoes limited offer,0,external_clean
recommended jacket for daily use,0,external_clean
unboxing video of chanel jacket,0,external_clean
unboxing video of adidas jacket,0,external_clean
scam offer limited time free money,1,external_clean
scam offer limited time free money,1,external_clean
new arrival gucci headphones limited offer,0,external_clean
recommended jacket for daily use,0,external_clean
new arrival nike headphones limited offer,0,external_clean
great quality phone fast shipping,0,external_clean
100% guarantee fake brand chanel phone,1,external_clean
unboxing video of adidas jacket,0,external_clean
counterfeit chanel phone cheap price,1,external_clean
authentic sony bag discount today,0,external_clean
great quality watch fast shipping,0,external_clean
counterfeit gucci headphones cheap price,1,external_clean
scam offer limited time free money,1,external_clean
great quality phone fast shipping,0,external_clean
unboxing video of adidas headphones,0,external_clean
free money click this link now,1,external_clean
authentic adidas phone discount today,0,external_clean
recommended phone for daily use,0,external_clean
recommended bag for daily use,0,external_clean
new arrival gucci jacket limited offer,0,external_clean
counterfeit apple bag cheap price,1,external_clean
recommended watch for daily use,0,external_clean
new arrival adidas phone limited offer,0,external_clean
counterfeit adidas watch cheap price,1,external_clean
great quality shoes fast shipping,0,external_clean
counterfeit apple watch cheap price,1,external_clean
100% guarantee fake brand adidas headphones,1,external_clean
scam offer limited time free money,1,external_clean
great quality watch fast shipping,0,external_clean
authentic gucci jacket discount today,0,external_clean
scam offer limited time free money,1,external_clean
100% guarantee fake brand adidas headphones,1,external_clean
scam offer limited time free money,1,external_clean
unboxing video of chanel jacket,1,external_clean
recommended watch for daily use,0,external_clean
scam offer limited time free money,1,external_clean
great quality jacket fast shipping,0,external_clean
great quality shoes fast shipping,0,external_clean
new arrival nike watch limited offer,0,external_clean
authentic nike bag discount today,0,external_clean
new arrival nike jacket limited offer,0,external_clean
unboxing video of chanel bag,0,external_clean
new arrival chanel shoes limited offer,0,external_clean
